file,location,year_diff,year_pub
2,1,19,2000
2,5,17,2000
2,1,16,2000
2,1,16,2000
2,3,15,2000
2,1,15,2000
2,1,14,2000
2,6,14,2000
2,1,14,2000
2,1,14,2000
2,1,14,2000
2,3,19,2000
2,1,19,2000
2,1,14,2000
2,5,13,2000
2,1,13,2000
2,5,18,2000
2,1,18,2000
2,5,18,2000
2,1,18,2000
2,6,18,2000
2,1,18,2000
2,4,18,2000
2,0,18,2000
2,0,18,2000
2,1,18,2000
2,1,18,2000
2,1,17,2000
2,1,17,2000
3,5,26,1992
3,1,24,1992
3,1,24,1992
3,5,24,1992
3,5,24,1992
3,1,23,1992
3,6,23,1992
3,1,23,1992
3,6,23,1992
3,3,23,1992
3,1,23,1992
3,1,26,1992
3,1,23,1992
3,1,23,1992
3,5,23,1992
3,1,23,1992
3,5,23,1992
3,3,23,1992
3,1,23,1992
3,4,23,1992
3,1,22,1992
3,4,22,1992
3,1,22,1992
3,3,22,1992
3,1,22,1992
3,1,26,1992
3,1,22,1992
3,1,22,1992
3,1,22,1992
3,1,22,1992
3,4,22,1992
3,5,22,1992
3,1,22,1992
3,1,22,1992
3,3,22,1992
3,1,22,1992
3,5,22,1992
3,1,22,1992
3,5,26,1992
3,5,22,1992
3,5,22,1992
3,1,22,1992
3,1,22,1992
3,1,21,1992
3,1,21,1992
3,1,21,1992
3,1,21,1992
3,5,21,1992
3,1,25,1992
3,3,21,1992
3,1,21,1992
3,1,21,1992
3,1,21,1992
3,5,21,1992
3,1,21,1992
3,5,21,1992
3,1,21,1992
3,5,21,1992
3,1,21,1992
3,1,21,1992
3,5,25,1992
3,1,20,1992
